,证券代码,证券简称,"任职期限最长的现任基金经理
[名次] 第1名","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第1名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第1名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第2名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第2名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第3名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第3名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第4名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第4名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第5名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第5名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第6名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第6名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第7名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第7名
[单位] %↓","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第8名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第8名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第9名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第9名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第10名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第10名
[单位] %"
0,006692.OF,金信消费升级A,杨仁眉,贵州省,10.6185,湖南省,10.5753,浙江省,10.4619,浙江省,10.4069,安徽省,10.3881,广东省,10.3325,江苏省,10.0591,江苏省,7.1349,广东省,6.6148,山东省,5.5535
1,006675.OF,宝盈品牌消费A,肖肖,安徽省,11.8827,河南省,11.6948,四川省,11.3417,北京,10.3498,四川省,9.9859,贵州省,9.9333,广东省,9.8216,北京,9.2337,北京,7.4886,浙江省,5.5223
2,110022.OF,易方达消费行业,萧楠,广东省,11.357999999999999,广东省,11.3155,贵州省,11.2034,四川省,11.1927,四川省,10.2847,北京,9.9306,安徽省,9.5422,山西省,9.177999999999999,内蒙古自治区,3.0476,山东省,2.2438
3,003190.OF,创金合信消费主题A,陈建军,四川省,9.7425,贵州省,9.5415,河南省,9.3882,四川省,9.3024,浙江省,9.2433,广东省,9.0681,四川省,8.8587,广东省,8.021,内蒙古自治区,6.6147,福建省,4.04
4,007548.OF,易方达ESG责任投资,郭杰,广东省,10.8894,北京,10.6017,贵州省,10.1308,四川省,9.2219,四川省,9.0616,上海,8.7681,江苏省,8.4165,广东省,8.1638,广东省,7.1006,江苏省,6.671
5,001576.OF,国泰智能装备,王阳,浙江省,9.5597,湖北省,9.191,广东省,8.7604,陕西省,8.65,浙江省,8.6096,山东省,8.3547,浙江省,8.2677,广东省,5.4725,广东省,3.7966,广东省,3.7919
6,003230.OF,创金合信医疗保健行业A,皮劲松,江苏省,9.4135,山东省,9.3458,吉林省,8.8783,广东省,8.7053,福建省,8.5139,河南省,8.4197,广东省,7.8688,天津,7.76,广东省,5.4675,山东省,3.6268
7,001162.OF,前海开源优势蓝筹A,吴国清,湖南省,9.4429,广东省,8.4137,上海,8.1842,广东省,8.1732,广东省,8.1503,上海,7.8669,上海,7.84,北京,7.8274,新疆维吾尔自治区,7.6596,山东省,6.7184
8,000628.OF,大成高新技术产业,刘旭,内蒙古自治区,8.2586,山东省,8.2155,贵州省,8.0058,广东省,7.9087,广东省,7.8587,浙江省,7.7777,浙江省,7.7734,浙江省,7.558,广东省,7.2672,广东省,4.9853
9,004403.OF,平安股息精选A,孙东宁,广东省,8.7986,上海,8.3475,广东省,7.9228,江苏省,7.9144,北京,7.8977,福建省,7.8926,上海,7.6807,广东省,7.3266,广东省,5.5815,浙江省,5.2089
10,007523.OF,汇添富内需增长A,赵鹏飞,贵州省,14.0283,广东省,9.7779,广东省,8.9863,江苏省,8.4057,浙江省,7.9354,浙江省,7.6649,江苏省,7.556,广东省,4.5814,广东省,4.5235,四川省,3.2187
11,002300.OF,长盛医疗行业,周思聪,江苏省,10.3411,吉林省,7.9201,广东省,7.8331,江苏省,7.7293,浙江省,7.7191,广东省,7.6987,湖南省,7.4709,浙江省,4.8627,河南省,4.6692,浙江省,4.0797
12,001044.OF,嘉实新消费,谭丽,广东省,10.6745,福建省,10.3277,天津,9.6169,贵州省,9.26,河南省,8.5571,福建省,7.5068,河北省,7.4649,辽宁省,6.7097,上海,5.2318,湖北省,4.7474
13,001707.OF,诺安高端制造,史高飞,江苏省,10.8136,湖北省,10.7102,浙江省,10.6354,山西省,10.5988,广东省,10.1572,北京,9.686,山东省,7.3251,云南省,6.0204,天津,5.3426,浙江省,4.7241
14,004189.OF,华商消费行业,何奇峰,贵州省,9.8385,四川省,9.7345,广东省,9.4951,广东省,9.4536,海南省,8.793,内蒙古自治区,7.3764,江苏省,7.3134,河南省,6.5474,山西省,5.968,四川省,5.7671
15,005970.OF,国泰消费优选,彭凌志,浙江省,9.0228,福建省,8.8091,浙江省,7.9747,上海,7.8013,河北省,7.2803,上海,7.1472,上海,7.0362,广东省,6.6823,广东省,6.5967,广东省,5.8667
16,003634.OF,嘉实农业产业,姚爽,广东省,9.1269,河南省,7.955,四川省,7.4295,四川省,7.2636,山东省,7.2224,贵州省,6.8991,广东省,6.8832,四川省,5.3398,新疆维吾尔自治区,5.2613,福建省,4.9866
17,000711.OF,嘉实医疗保健,齐海滔,山东省,10.0996,广东省,10.0557,广东省,8.9587,吉林省,8.9129,浙江省,8.3309,吉林省,8.0739,广东省,6.8663,江苏省,6.6733,浙江省,6.1263,上海,6.1153
18,000974.OF,安信消费医药主题,陈一峰,浙江省,10.5985,广东省,10.5534,北京,10.3162,广东省,10.1025,安徽省,8.1672,上海,8.1495,吉林省,6.8528,山东省,6.4294,浙江省,5.706,广东省,5.3719
19,007287.OF,合煦智远消费主题A,程卉超,广东省,11.4459,内蒙古自治区,8.7636,广东省,7.6427,广东省,7.2727,河南省,7.2657,香港特别行政区,6.8709,广东省,6.824,广东省,5.2905,广东省,4.6699,安徽省,4.2652
20,005669.OF,前海开源公用事业,史程,北京,10.8333,上海,7.7546,香港特别行政区,7.5311,广东省,7.3771,广东省,7.322,广西壮族自治区,7.2041,北京,6.7659,广东省,5.7677,香港特别行政区,5.7627,香港特别行政区,5.7363
21,000854.OF,鹏华养老产业,王宗合,安徽省,10.4322,四川省,9.7276,四川省,9.6026,贵州省,9.5307,山西省,9.4087,广东省,7.0414,四川省,6.7486,福建省,5.831,湖南省,5.2063,浙江省,4.7566
22,001915.OF,宝盈医疗健康沪港深,曹潜,吉林省,10.1644,河南省,9.709,湖南省,9.6078,广东省,9.0692,广东省,7.7673,江苏省,6.7429,浙江省,6.7082,江苏省,6.3461,云南省,6.3353,广东省,4.6262
23,001645.OF,国泰大健康,徐治彪,广东省,9.5655,湖南省,9.5123,上海,7.928999999999999,广东省,7.5952,安徽省,7.4431,浙江省,7.2387,山东省,6.7019,湖北省,6.1859,江苏省,5.8196,浙江省,5.6805
24,000979.OF,景顺长城沪港深精选,鲍无可,安徽省,8.8793,四川省,8.4897,香港特别行政区,8.151,北京,7.4686,香港特别行政区,7.419,云南省,7.2489,山东省,6.7016,湖南省,6.4393,香港特别行政区,5.7678,广东省,5.7604
25,001726.OF,汇添富新兴消费,刘伟林,吉林省,9.5025,江苏省,9.1167,浙江省,7.8082,湖南省,7.5143,四川省,7.5102,江苏省,6.7207,四川省,6.6645,贵州省,6.4936,广东省,5.7192,广东省,5.5799
26,000309.OF,大摩品质生活精选,何晓春,江西省,9.767999999999999,山东省,9.6441,湖北省,8.7618,广东省,8.5593,广东省,8.051,广东省,7.211,上海,6.6319,广东省,6.4019,广东省,4.9362,广东省,4.5287
27,006671.OF,广发消费升级,李耀柱,北京,11.7664,广东省,11.1833,吉林省,10.9717,北京,10.04,广东省,6.7564,山东省,6.7083,安徽省,6.627999999999999,广东省,6.1498,浙江省,5.6276,河南省,5.4991
28,000996.OF,中银新动力,吴印,广东省,7.5371,贵州省,7.4357,江苏省,7.2938,广东省,7.0863,浙江省,6.9039,广东省,6.7605,江苏省,6.6153,安徽省,6.593999999999999,山东省,6.4384,广东省,6.1823
29,006228.OF,中欧医疗创新A,葛兰,湖南省,10.8852,吉林省,10.1436,江苏省,8.6776,浙江省,7.0876,天津,6.5198,海南省,6.5193,浙江省,6.507999999999999,江苏省,6.0151,浙江省,4.8658,浙江省,4.7034
30,004851.OF,广发医疗保健A,吴兴武,湖南省,9.2185,浙江省,8.4924,广东省,8.2789,江苏省,7.8008,江苏省,7.4851,吉林省,7.2196,浙江省,6.4866,山东省,5.7704,福建省,4.2872,四川省,3.6947
31,003853.OF,金鹰信息产业A,樊勇,广东省,10.1918,广东省,7.5803,浙江省,7.4239,广东省,7.272,江西省,6.627000000000001,湖北省,6.5366,上海,6.4695,浙江省,5.6094,福建省,5.4576,广东省,4.9743
32,006502.OF,财通集成电路产业A,金梓才,江苏省,8.8731,广东省,8.7765,山东省,8.5315,湖南省,8.4829,广东省,8.1679,四川省,7.7655,广东省,6.4521,广东省,6.3945,江苏省,5.8686,浙江省,5.5846
33,003624.OF,创金合信资源主题A,李游,福建省,9.3104,四川省,8.6999,北京,7.1689,四川省,6.9426,江西省,6.7617,北京,6.5772,浙江省,6.4175,河南省,5.5791,陕西省,5.3144,江西省,5.2877
34,002621.OF,中欧消费主题A,郭睿,北京,9.8851,山东省,9.2442,广东省,9.0564,四川省,8.9918,河南省,8.0198,浙江省,6.4481,贵州省,6.3842,福建省,6.0092,江苏省,5.8384,安徽省,5.6621
35,000985.OF,嘉实逆向策略,曲盛伟,广东省,9.2414,四川省,9.1572,安徽省,8.7767,广东省,7.861000000000001,山东省,6.7978,广东省,6.4078,北京,6.3628,广东省,6.2363,四川省,6.0756,陕西省,6.0743
36,164205.OF,天弘文化新兴产业,田俊维,广东省,10.3862,山东省,9.7131,广东省,9.6322,广东省,9.0593,浙江省,8.9988,浙江省,8.9004,江苏省,6.3518,山东省,5.3403,江苏省,4.2972,广东省,3.9616
37,004040.OF,金鹰医疗健康产业A,韩广哲,吉林省,9.2325,江苏省,8.5882,江苏省,8.584,安徽省,6.9972,江苏省,6.9544,广东省,6.4335,广东省,6.3347,浙江省,5.9865,广东省,5.9065,福建省,5.8921
38,540010.OF,汇丰晋信科技先锋,陈平,广东省,10.3773,浙江省,8.4317,浙江省,8.2234,广东省,7.5783,上海,7.507999999999999,江苏省,7.4164,北京,6.332999999999999,山东省,5.5101,广东省,4.87,江苏省,4.7987
39,399011.OF,中海医疗保健,易小金,江苏省,10.2878,湖南省,10.0989,浙江省,10.0699,广东省,8.5105,四川省,8.0219,江苏省,6.511,江苏省,6.3122,河南省,5.5797,吉林省,4.3391,上海,4.3328
40,002289.OF,华商改革创新,李双全,四川省,10.219,北京,9.3654,吉林省,7.6951,天津,7.5908,江苏省,7.4445,北京,7.3533,广东省,6.3059,浙江省,5.3271,浙江省,5.0358,广东省,4.8918
41,006478.OF,长盛多因子策略优选,冯雨生,广东省,8.4759,北京,8.4551,贵州省,8.2131,广东省,7.1547,四川省,7.0907,广东省,6.9327,广东省,6.2982,上海,6.247999999999999,湖南省,5.2996,四川省,4.6193
42,000778.OF,鹏华先进制造,袁航,北京,10.9529,贵州省,9.8997,内蒙古自治区,7.4654,广东省,6.8474,四川省,6.7429,北京,6.535,广东省,6.2757,山东省,6.0695,山东省,5.6144,广东省,5.4287
43,004812.OF,中欧先进制造A,于浩成,山东省,8.468,浙江省,8.1863,陕西省,7.647,江苏省,6.809,江苏省,6.4823,上海,6.4237,广东省,6.1802,北京,6.1692,安徽省,5.7208,云南省,5.4271
44,005662.OF,嘉实金融精选A,李欣,广东省,9.8805,广东省,9.3079,福建省,9.1256,广东省,8.13,北京,7.729,广东省,6.9108,江苏省,6.1187,江苏省,6.056,江苏省,4.008,北京,3.3292
45,006251.OF,银华兴盛,薄官辉,内蒙古自治区,10.4101,贵州省,10.2915,浙江省,8.0802,四川省,7.5946,山东省,7.1956,浙江省,6.3725,广东省,6.1045,福建省,5.9717,广东省,4.837,北京,4.1192
46,001171.OF,工银瑞信养老产业,赵蓓,江苏省,11.1971,北京,11.0613,吉林省,10.7522,广东省,7.5271,广东省,7.1402,天津,6.1188,浙江省,6.0799,四川省,5.8815,北京,4.9401,北京,4.4536
47,519714.OF,交银消费新驱动,韩威俊,江苏省,9.1435,贵州省,9.0411,广东省,8.9749,重庆,8.9101,四川省,8.7994,广东省,7.5245,广东省,6.0577,山东省,6.0261,内蒙古自治区,6.0202,山东省,5.1026
48,004698.OF,博时军工主题,兰乔,山东省,9.8268,内蒙古自治区,9.4249,黑龙江省,8.3477,湖北省,7.4474,北京,7.3625,江苏省,6.9443,贵州省,6.0452,河南省,5.2726,陕西省,4.928999999999999,北京,4.6443
49,001048.OF,富国新兴产业,魏伟,浙江省,9.2047,北京,9.1658,江苏省,9.0587,山东省,8.997,广东省,7.6659,广东省,7.1727,山东省,6.0026,江苏省,5.1085,江苏省,4.3704,北京,3.9507
50,004292.OF,鹏华沪深港互联网,聂毅翔,贵州省,11.9404,广东省,10.3921,香港特别行政区,8.8495,香港特别行政区,8.7694,北京,7.1599,广东省,6.7874,,5.9602,北京,5.3934,福建省,5.1855,四川省,4.8182
51,001677.OF,中银战略新兴产业,钱亚风云,贵州省,9.1446,北京,8.9807,广东省,8.4624,广东省,7.5468,吉林省,7.034,广东省,6.7107,内蒙古自治区,5.956,广东省,5.1867,安徽省,4.9546,湖南省,4.9334
52,004450.OF,嘉实前沿科技,张丹华,北京,10.4461,广东省,10.2878,江苏省,8.7508,江苏省,7.8649,福建省,7.6075,北京,5.9367,浙江省,5.9283,浙江省,5.5138,广东省,4.9889,吉林省,4.0177
53,000746.OF,招商行业精选,贾成东,广东省,9.7216,吉林省,8.562999999999999,广东省,7.5882,湖南省,7.3607,上海,6.4138,浙江省,6.2666,浙江省,5.9263,广东省,5.5632,湖北省,5.4114,广东省,4.8732
54,005962.OF,宝盈人工智能A,张仲维,浙江省,7.1167,湖北省,6.5796,江苏省,6.468,江苏省,6.3602,广东省,6.3028,江苏省,6.2014,上海,5.9239,北京,5.9001,广东省,5.5399,北京,5.4968
55,001956.OF,国联安科技动力,潘明,北京,6.5056,广东省,6.4236,上海,6.4205,北京,6.3947,北京,6.3873,江苏省,6.3847,福建省,5.91,上海,3.6104,上海,3.5774,广东省,3.5625
56,003745.OF,广发多元新兴,刘格菘,广东省,10.7316,北京,8.4456,湖北省,8.1667,北京,7.7328,广东省,7.6482,北京,6.7419,广东省,5.8658,北京,5.5156,广东省,5.252999999999999,江苏省,5.2207
57,000960.OF,招商医药健康产业,李佳存,浙江省,10.0439,广东省,9.6528,广东省,8.9674,安徽省,7.7073,河南省,6.6941,湖南省,5.9017,吉林省,5.8569,福建省,4.8586,上海,4.7105,天津,4.3012
58,006603.OF,嘉实互融精选,蒋一茜,贵州省,11.0555,广东省,9.6988,广东省,9.5359,广东省,7.1967,香港特别行政区,6.6641,广东省,6.0282,北京,5.8531,广东省,5.0388,广东省,4.9288,福建省,4.78
59,001626.OF,国泰央企改革,饶玉涵,江苏省,9.4234,浙江省,7.4535,浙江省,6.8268,江苏省,6.7613,上海,6.0667,北京,5.8252,江苏省,5.6834,贵州省,4.5913,北京,3.8642,山东省,3.8635
60,160127.OF,南方新兴消费增长,肖勇,广东省,10.4198,贵州省,10.0226,四川省,9.9699,四川省,8.8676,广东省,8.7414,广东省,5.684,江苏省,5.6691,河南省,5.3084,安徽省,4.0735,山东省,3.4598
