证券代码,证券简称,"任职期限最长的现任基金经理
[名次] 第1名","重仓股股票代码
[报告期] 去年年报
[名次] 第1名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第1名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第2名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第2名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第3名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第3名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第4名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第4名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第5名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第5名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第6名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第6名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第7名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第7名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第8名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第8名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第9名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第9名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第10名↑","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第10名
[单位] %"
001577.OF,嘉实低价策略,李帅,601318,8.6761 ,600036,8.2663 ,002048,6.1039 ,000002,5.8080 ,002120,4.0918 ,001979,3.2500 ,603659,3.1697 ,000725,3.0728 ,000550,3.0358 ,000100,3.0254 
000778.OF,鹏华先进制造,袁航,600031,10.9529 ,600519,9.8997 ,600887,7.4654 ,000002,6.8474 ,000858,6.7429 ,300003,6.5350 ,601318,6.2757 ,000338,6.0695 ,600529,5.6144 ,300760,5.4287 
001705.OF,泓德战略转型,秦毅,601012,8.1430 ,603338,7.8021 ,601318,7.6642 ,000002,4.8677 ,300750,4.7558 ,002202,4.4607 ,600438,4.0843 ,300188,3.7809 ,603659,3.7545 ,601233,3.5886 
001677.OF,中银战略新兴产业,钱亚风云,600519,9.1446 ,601888,8.9807 ,600036,8.4624 ,000002,7.5468 ,000661,7.0340 ,000333,6.7107 ,600887,5.9560 ,300760,5.1867 ,002555,4.9546 ,603517,4.9334 
001714.OF,工银瑞信文体产业,袁芳,600031,5.1207 ,000651,4.6204 ,300750,3.9256 ,000002,3.5122 ,600183,3.3950 ,300747,3.1347 ,601088,3.0185 ,002938,3.0165 ,002138,2.7077 ,688111,2.4639 
001520.OF,国投瑞银研究精选,桑俊,601318,6.2908 ,600030,4.5112 ,601939,4.0313 ,000063,3.6441 ,600036,3.3964 ,600048,3.3402 ,600519,3.2347 ,600837,3.1126 ,000001,2.7805 ,000338,2.5196 
006868.OF,华夏科技成长,张帆,002705,10.6586 ,300782,4.8974 ,300226,4.6497 ,000063,4.3582 ,002419,4.1308 ,300450,3.8485 ,002185,3.6076 ,002371,3.5589 ,002475,3.5403 ,002384,3.4620 
000549.OF,华安大国新经济,翁启森,000977,5.7759 ,603068,4.3596 ,300316,3.2778 ,000063,3.0191 ,002531,2.6558 ,600745,2.3591 ,601138,2.3440 ,601231,2.2590 ,603799,2.0998 ,300498,1.9356 
001028.OF,华安物联网主题,翁启森,000977,5.7501 ,603068,4.2061 ,300316,3.2055 ,000063,2.9206 ,002531,2.6120 ,600745,2.3775 ,601138,2.0559 ,603799,2.0408 ,300144,1.9751 ,300498,1.9185 
007590.OF,华宝绿色领先,蔡目荣,002202,8.3337 ,002531,8.3091 ,002127,7.8184 ,000063,5.2596 ,002415,4.3874 ,601688,4.3304 ,300443,4.2462 ,002709,4.2195 ,300232,3.5670 ,603103,3.5499 
